No.,Time,Source,Destination,Protocol,Length,Info
42516,1086.702009,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=4011 Ack=529 Win=1025 Len=11"
42517,1086.72645,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=529 Ack=4022 Win=16 Len=11"
42803,1146.661105,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=540 Ack=4022 Win=16 Len=11"
43076,1195.374952,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=4022 Ack=551 Win=1025 Len=648"
43078,1195.400172,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=551 Ack=4670 Win=16 Len=55"
47623,1255.475806,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=4670 Ack=606 Win=1025 Len=11"
47624,1255.506802,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=606 Ack=4681 Win=16 Len=11"
47655,1266.675244,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=617 Ack=4681 Win=16 Len=11"
47959,1326.73777,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=4681 Ack=628 Win=1025 Len=11"
47960,1326.762755,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=628 Ack=4692 Win=16 Len=11"
48356,1386.689352,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=639 Ack=4692 Win=16 Len=11"
48739,1446.742807,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=4692 Ack=650 Win=1025 Len=11"
48740,1446.76801,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=650 Ack=4703 Win=16 Len=11"
48755,1451.570265,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=4703 Ack=661 Win=1025 Len=648"
48756,1451.596137,34.158.0.131,192.168.50.133,TCP,109,"4070  >  55697 [PSH, ACK] Seq=661 Ack=5351 Win=16 Len=55"
51938,1506.702875,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=716 Ack=5351 Win=16 Len=11"
52353,1566.766651,192.168.50.133,34.158.0.131,TCP,65,"55697  >  4070 [PSH, ACK] Seq=5351 Ack=727 Win=1024 Len=11"
52354,1566.791433,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=727 Ack=5362 Win=16 Len=11"
52698,1626.716944,34.158.0.131,192.168.50.133,TCP,65,"4070  >  55697 [PSH, ACK] Seq=738 Ack=5362 Win=16 Len=11"
52702,1627.307945,192.168.50.133,34.158.0.131,TCP,702,"55697  >  4070 [PSH, ACK] Seq=5362 Ack=749 Win=1024 Len=648"
