"No.","Time","Source","Destination","Protocol","Length","Info"
"393667","5249.588800","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=2663 Ack=19823 Win=16 Len=55"
"393671","5249.629993","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=19823 Ack=2718 Win=1026 Len=0"
"394224","5277.579459","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2718 Ack=19823 Win=16 Len=11"
"394225","5277.624188","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=19823 Ack=2729 Win=1026 Len=0"
"394935","5337.652119","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=19823 Ack=2729 Win=1026 Len=11"
"394936","5337.677182","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2729 Ack=19834 Win=16 Len=11"
"394937","5337.730060","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=19834 Ack=2740 Win=1026 Len=0"
"396163","5397.592592","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2740 Ack=19834 Win=16 Len=11"
"396168","5397.644356","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=19834 Ack=2751 Win=1026 Len=0"
"396813","5410.089719","192.168.50.133","34.158.0.131","TCP","620","55697  >  4070 [PSH, ACK] Seq=19834 Ack=2751 Win=1026 Len=566"
"396815","5410.114913","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=2751 Ack=20400 Win=16 Len=55"
"396830","5410.169063","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=20400 Ack=2806 Win=1026 Len=0"
"412314","5470.171249","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=20400 Ack=2806 Win=1026 Len=11"
"412315","5470.195984","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2806 Ack=20411 Win=16 Len=11"
"412316","5470.248727","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=20411 Ack=2817 Win=1026 Len=0"
"414201","5517.605942","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2817 Ack=20411 Win=16 Len=11"
"414203","5517.655481","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=20411 Ack=2828 Win=1026 Len=0"
"415175","5577.658073","192.168.50.133","34.158.0.131","TCP","65","55697  >  4070 [PSH, ACK] Seq=20411 Ack=2828 Win=1026 Len=11"
"415176","5577.682876","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2828 Ack=20422 Win=16 Len=11"
"415177","5577.736138","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=20422 Ack=2839 Win=1026 Len=0"
"417352","5637.619582","34.158.0.131","192.168.50.133","TCP","65","4070  >  55697 [PSH, ACK] Seq=2839 Ack=20422 Win=16 Len=11"
"417359","5637.661598","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=20422 Ack=2850 Win=1026 Len=0"
"418327","5641.659499","192.168.50.133","34.158.0.131","TCP","734","55697  >  4070 [PSH, ACK] Seq=20422 Ack=2850 Win=1026 Len=680"
"418330","5641.684998","34.158.0.131","192.168.50.133","TCP","109","4070  >  55697 [PSH, ACK] Seq=2850 Ack=21102 Win=16 Len=55"
"418331","5641.729382","192.168.50.133","34.158.0.131","TCP","54","55697  >  4070 [ACK] Seq=21102 Ack=2905 Win=1026 Len=0"
